Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -0.64617      0.95300      1.93606      0.85543
     -0.63617      1.54433      3.28884      1.23867
     -0.62617      1.53980      1.90235      0.74014
     -0.61617      1.91770      0.38705      0.17699
     -0.60617      0.90023      0.72287      0.37795
     -0.59617      0.40840      0.85086      0.43489
     -0.58617      1.28215      0.51151      0.25828
     -0.57617      1.89464      0.26315      0.14003
     -0.56617      1.72762      0.43842      0.23345
     -0.55617      1.21638      0.77167      0.34933
     -0.54617      1.06599      1.15956      0.45169
     -0.53617      0.35389      1.13131      0.43027
     -0.52617      0.95359      1.43690      0.60583
     -0.51617      2.87653      0.91042      0.47071
     -0.50617      1.29085      0.92116      0.43837
     -0.49617      0.15317      0.75493      0.28500
     -0.48617      0.83435      0.27350      0.12609
     -0.47617      1.51845      0.68050      0.37567
     -0.46617      1.47324      1.05618      0.44481
     -0.45617      2.22851      0.86596      0.37186
     -0.44617      1.19001      1.00051      0.52750
     -0.43617      1.85659      1.39685      0.58308
     -0.42617      1.78542      1.36509      0.53476
     -0.41617      0.38938      1.14221      0.47656
     -0.40617      0.29063      0.22386      0.10455
     -0.39617      1.43601      0.05989      0.01822
     -0.38617      1.51925      0.51375      0.13950
     -0.37617      1.03095      0.68100      0.18490
     -0.36617      1.67626      0.12217      0.03317
     -0.35617      1.76683      0.00306      0.00083
     -0.34617      1.44979      0.01106      0.00267
     -0.33617      0.91793      0.17982      0.04342
     -0.32617      0.99809      0.43851      0.10615
     -0.31617      0.25929      0.43480      0.10687
     -0.30617      0.00982      0.30083      0.07439
     -0.29617      0.03911      0.03965      0.00978
     -0.28617      0.52224      0.10869      0.02555
     -0.27617      0.94507      0.67207      0.15792
     -0.26617      0.23151      0.56570      0.13293
     -0.25617      0.00787      0.06444      0.01514
     -0.24617      0.02466      0.00099      0.00023
     -0.23617      0.42185      0.00000      0.00000
     -0.22617      0.99025      0.00000      0.00000
     -0.21617      0.59562      0.00000      0.00000
     -0.20617      0.98585      0.00000      0.00000
     -0.19617      0.45612      0.00000      0.00000
     -0.18617      0.29802      0.00000      0.00000
     -0.17617      0.96688      0.00000      0.00000
     -0.16617      0.46791      0.00000      0.00000
     -0.15617      0.03066      0.00000      0.00000
     -0.14617      0.00027      0.00000      0.00000
     -0.13617      0.00000      0.00000      0.00000
     -0.12617      0.00020      0.00000      0.00000
     -0.11617      0.01950      0.00000      0.00000
     -0.10617      0.27057      0.00000      0.00000
     -0.09617      0.66398      0.00000      0.00000
     -0.08617      0.60830      0.00000      0.00000
